"player_name","pro_pos","nic_year","school","size_score","athleticism_score","cfr_score","pff_score","production_score","cfr_ratio","pff_ratio","final_score","was_starter_proba","was_pro_bowler_proba","started_year1_proba","started_year2_proba","started_year3_proba","combine_person_id","ebs_id","final_pos_class_rank","production_pos_class_rank","athleticism_pos_class_rank"
"Mason Graham","DT",2025,"Michigan",NULL,"77.2100000","82.7000000","93.4600000","92.6900000","0.3900000","0.6100000","85.2700000","0.7598000","0.0943000","0.5292000","0.6417000","0.7783000",NULL,NULL,1,1,4
"Harold Fannin Jr.","TE",2025,"Bowling Green",NULL,"75.9500000","89.9100000","91.3200000","90.0900000","0.6700000","0.3300000","84.0200000","0.7212000","0.1649000","0.5174000","0.4394000","0.5911000",NULL,NULL,4,2,19
"Isaiah Neyor","WR",2025,"Nebraska",NULL,"94.8900000","65.5300000","67.2800000","64.4400000","0.4900000","0.5100000","74.2400000","0.1118000","0.0081000","0.0493000","0.1129000","0.0680000",NULL,NULL,23,34,10
"Jacolby George","WR",2025,"Miami (FL)",NULL,"72.2100000","65.5900000","72.2000000","66.5300000","0.4900000","0.5100000","67.1000000","0.0744000","0.0085000","0.0359000","0.0919000","0.0440000",NULL,NULL,35,26,19
"Jack Bech","WR",2025,"TCU",NULL,"72.8400000","68.4400000","63.1500000","68.3300000","0.4900000","0.5100000","75.0600000","0.6349000","0.1009000","0.3206000","0.5157000","0.3565000",NULL,NULL,15,21,35
"Bilal Nichols","DT",2018,"Delaware","76.9915000","83.6700000",NULL,NULL,"59.6600000","0.0000000","0.0000000","72.3600000","0.5092000","0.0384000","0.1139000","0.3792000","0.3028000",NULL,NULL,12,21,4
"Zach Kerr","DT",2014,"Delaware","73.8617000","72.7200000",NULL,NULL,"54.6500000","0.0000000","0.0000000","62.0500000","0.1700000","0.0330000","0.0514000","0.0969000","0.1302000",NULL,NULL,21,27,10
"Ty Warren","DT",2003,"Texas A&M","77.7681000","75.2400000",NULL,NULL,"81.4700000","0.0000000","0.0000000","82.3700000","0.7279000","0.4080000","0.2870000","0.6883000","0.7165000",NULL,NULL,3,4,7
"Deon Simon","DT",2015,"Northwestern State","81.1325000","74.8800000",NULL,NULL,"50.7200000","0.0000000","0.0000000","62.0100000","0.1771000","0.0311000","0.0654000","0.1143000","0.1163000",NULL,NULL,23,29,9
"Akiem Hicks","DT",2012,"Regina","88.8533000","66.8500000",NULL,NULL,"67.8800000","0.0000000","0.0000000","70.7200000","0.5161000","0.0431000","0.1442000","0.3326000","0.4284000",NULL,NULL,16,20,23
"Anthony Adams","DT",2003,"Penn State","57.1849000","71.7400000",NULL,NULL,"76.1100000","0.0000000","0.0000000","74.8100000","0.4085000","0.2103000","0.1828000","0.3893000","0.3342000",NULL,NULL,8,7,10
"Demetrin Veal","DT",2003,"Tennessee","62.9526000","58.7900000",NULL,NULL,"56.4400000","0.0000000","0.0000000","56.9700000","0.1364000","0.0281000","0.0581000","0.0777000","0.0890000",NULL,NULL,26,23,27
"Demarco McNeil","DT",2004,"Auburn","64.1641000","64.5000000",NULL,NULL,"54.6500000","0.0000000","0.0000000","57.3100000","0.1175000","0.0273000","0.0532000","0.0864000","0.0919000",NULL,NULL,25,21,23
"Eric Coleman","DT",2005,"Clemson","76.3429000","61.8300000",NULL,NULL,"54.6500000","0.0000000","0.0000000","59.5900000","0.1831000","0.0350000","0.0624000","0.1121000","0.0951000",NULL,NULL,20,17,17
"Dwan Edwards","DT",2004,"Oregon State","70.5691000","73.3800000",NULL,NULL,"76.1100000","0.0000000","0.0000000","75.7300000","0.5766000","0.0309000","0.1115000","0.5146000","0.5459000",NULL,NULL,7,4,11
"Colin Cole","DT",2003,"Iowa","68.3515000","60.4500000",NULL,NULL,"54.6500000","0.0000000","0.0000000","56.8400000","0.1319000","0.0282000","0.0557000","0.0781000","0.0936000",NULL,NULL,27,24,26
"Dewayne Robertson","DT",2003,"Kentucky","67.4244000","62.0200000",NULL,NULL,"93.2800000","0.0000000","0.0000000","81.6900000","0.7372000","0.2103000","0.4615000","0.6083000","0.7500000",NULL,NULL,4,2,22
"Quinn Pitcock","DT",2007,"Ohio State","69.0738000","81.1300000",NULL,NULL,"67.8800000","0.0000000","0.0000000","77.5600000","0.5788000","0.2437000","0.2703000","0.5186000","0.5271000",NULL,NULL,2,6,1
"Atiyyah Ellison","DT",2005,"Missouri","78.0841000","54.3300000",NULL,NULL,"67.8800000","0.0000000","0.0000000","64.9300000","0.3531000","0.0480000","0.1002000","0.2985000","0.1223000",NULL,NULL,13,7,20
"Tank Johnson","DT",2004,"Washington","71.0261000","82.6800000",NULL,NULL,"76.1100000","0.0000000","0.0000000","79.3200000","0.5675000","0.1176000","0.1809000","0.6095000","0.5874000",NULL,NULL,5,4,3
"Devaunte Sigler","DT",2016,"Jacksonville State","75.6512000","51.0000000",NULL,NULL,"54.6500000","0.0000000","0.0000000","51.7200000","0.1220000","0.0209000","0.0457000","0.0681000","0.0839000",NULL,NULL,32,30,30
"Vince Wilfork","DT",2004,"Miami (FL)","71.3788000","82.3700000",NULL,NULL,"81.4700000","0.0000000","0.0000000","83.6000000","0.7676000","0.2877000","0.2555000","0.6436000","0.7793000",NULL,NULL,2,1,4
"Ahmad Childress","DT",2004,"Alabama","95.6039000","51.2800000",NULL,NULL,"54.6500000","0.0000000","0.0000000","54.2600000","0.1099000","0.0294000","0.0637000","0.0914000","0.0849000",NULL,NULL,28,21,31
"Darnell Dockett","DT",2004,"Florida State","69.0835000","70.3100000",NULL,NULL,"67.8800000","0.0000000","0.0000000","68.1400000","0.3157000","0.0304000","0.0861000","0.2154000","0.1729000",NULL,NULL,14,9,15
"Ryon Bingham","DT",2004,"Nebraska","69.6980000","80.5100000",NULL,NULL,"56.4400000","0.0000000","0.0000000","65.3400000","0.1589000","0.0457000","0.1078000","0.1177000","0.0985000",NULL,NULL,17,19,5
"Marcus Spears","DT",2005,"LSU","76.5424000","80.8600000",NULL,NULL,"81.4700000","0.0000000","0.0000000","82.6200000","0.7351000","0.2602000","0.3312000","0.5345000","0.7205000",NULL,NULL,2,1,6
"Kevin Vickerson","DT",2005,"Michigan State","83.6827000","72.5500000",NULL,NULL,"56.4400000","0.0000000","0.0000000","64.4000000","0.2541000","0.0369000","0.0666000","0.1678000","0.1297000",NULL,NULL,15,15,11
"Marquise Hill","DT",2004,"LSU","89.5440000","69.1600000",NULL,NULL,"76.1100000","0.0000000","0.0000000","74.1000000","0.5966000","0.0312000","0.1164000","0.4188000","0.4756000",NULL,NULL,8,4,16
"Cory Redding","DT",2003,"Texas","71.2232000","79.2900000",NULL,NULL,"67.8800000","0.0000000","0.0000000","74.8000000","0.5498000","0.0823000","0.2217000","0.3786000","0.4512000",NULL,NULL,9,8,5
"Anttaj Hawthorne","DT",2005,"Wisconsin","78.4360000","60.1100000",NULL,NULL,"58.2300000","0.0000000","0.0000000","62.7500000","0.3527000","0.0256000","0.0683000","0.1501000","0.1862000",NULL,NULL,18,10,19
"Eric Manning","DT",2003,"Oregon State","62.8343000","69.9900000",NULL,NULL,"54.6500000","0.0000000","0.0000000","60.2100000","0.1403000","0.0349000","0.0613000","0.0864000","0.0912000",NULL,NULL,24,24,14
"Sione Pouha","DT",2005,"Utah","80.3778000","84.7900000",NULL,NULL,"67.8800000","0.0000000","0.0000000","80.0700000","0.6518000","0.3438000","0.2713000","0.5889000","0.5879000",NULL,NULL,4,7,4
"Jonathan Babineaux","DT",2005,"Iowa","62.9009000","72.1700000",NULL,NULL,"76.1100000","0.0000000","0.0000000","74.1900000","0.4486000","0.0808000","0.1516000","0.3870000","0.3986000",NULL,NULL,7,5,12
"Elijah Simmons","DT",2025,"Tennessee",NULL,"62.8400000","51.0000000",NULL,"51.7200000","1.0000000","0.0000000","56.9000000","0.1334000","0.0210000","0.0668000","0.0749000","0.0945000",NULL,NULL,40,39,36
"Sam Brown Jr.","WR",2025,"Miami (FL)",NULL,"89.7300000","51.0000000","66.0400000","58.1800000","0.4900000","0.5100000","68.4500000","0.0872000","0.0081000","0.0275000","0.0724000","0.0417000",NULL,NULL,41,46,18
"Christian Tupou","DT",2012,"USC","63.5453000","51.0000000",NULL,NULL,"54.6500000","0.0000000","0.0000000","52.8300000","0.1244000","0.0247000","0.0494000","0.0745000","0.0857000",NULL,NULL,30,27,29
"Darrell Campbell","DT",2004,"Notre Dame","82.5263000","67.7400000",NULL,NULL,"54.6500000","0.0000000","0.0000000","60.4300000","0.1555000","0.0265000","0.0553000","0.1185000","0.0966000",NULL,NULL,22,21,17
"Chad Lavalais","DT",2004,"LSU","66.4807000","71.3100000",NULL,NULL,"60.3700000","0.0000000","0.0000000","66.4100000","0.2647000","0.0336000","0.0717000","0.2740000","0.1515000",NULL,NULL,16,15,13
"Shaun Cody","DT",2005,"USC","66.0692000","78.3900000",NULL,NULL,"76.1100000","0.0000000","0.0000000","77.6100000","0.4839000","0.2342000","0.1727000","0.5283000","0.3934000",NULL,NULL,5,5,7
"Lynn McGruder","DT",2005,"Oklahoma","66.7065000","75.7300000",NULL,NULL,"54.6500000","0.0000000","0.0000000","64.7700000","0.2231000","0.0364000","0.1068000","0.1757000","0.1075000",NULL,NULL,14,17,9
"Tai Felton","WR",2025,"Maryland",NULL,"83.3200000","70.3300000","80.9800000","73.6100000","0.4900000","0.5100000","76.6900000","0.3238000","0.0107000","0.1546000","0.2357000","0.2264000",NULL,NULL,14,12,17
"Craig Terrill","DT",2004,"Purdue","66.7731000","63.0600000",NULL,NULL,"58.2300000","0.0000000","0.0000000","61.5800000","0.2398000","0.0291000","0.0767000","0.1083000","0.1160000",NULL,NULL,20,17,25
"Albert Means","DT",2005,"Memphis","77.6385000","51.0000000",NULL,NULL,"54.6500000","0.0000000","0.0000000","54.8400000","0.1307000","0.0264000","0.0575000","0.0933000","0.0882000",NULL,NULL,21,17,21
"Johnathan Sullivan","DT",2003,"Georgia","73.8783000","68.2700000",NULL,NULL,"89.3400000","0.0000000","0.0000000","83.7600000","0.7438000","0.3547000","0.4671000","0.7187000","0.7521000",NULL,NULL,2,3,16
"Mike Pennel","DT",2014,"Colorado State-Pueblo","84.9862000","65.3400000",NULL,NULL,"54.6500000","0.0000000","0.0000000","58.7600000","0.1587000","0.0248000","0.0495000","0.0751000","0.1108000",NULL,NULL,26,27,17
"Montori Hughes","DT",2013,"Tennessee-Martin","80.7875000","60.7200000",NULL,NULL,"60.3700000","0.0000000","0.0000000","65.1300000","0.3667000","0.0283000","0.0895000","0.3440000","0.1753000",NULL,NULL,18,17,16
"Aubrayo Franklin","DT",2003,"Tennessee","63.8262000","61.9600000",NULL,NULL,"60.3700000","0.0000000","0.0000000","63.7300000","0.3020000","0.0307000","0.0636000","0.2230000","0.1520000",NULL,NULL,21,14,23
"Terry Beckner Jr.","DT",2019,"Missouri","69.9615000","51.0000000","75.2400000","62.5300000","63.9600000","0.3900000","0.6100000","54.2400000","0.1266000","0.0231000","0.0583000","0.0605000","0.0779000",NULL,NULL,22,17,22
"Jonathan Bullard","DT",2016,"Florida","70.5201000","86.5600000","91.0500000","75.1600000","83.8800000","0.3900000","0.6100000","83.9500000","0.6703000","0.0831000","0.3738000","0.5927000","0.7072000",NULL,NULL,3,4,3
"Brodrick Bunkley","DT",2006,"Florida State","73.3759000","99.0000000","84.8100000",NULL,"87.3100000","1.0000000","0.0000000","95.8400000","0.7919000","0.5560000","0.5528000","0.6857000","0.8176000",NULL,NULL,1,1,1
"Matt Dickerson","DT",2018,"UCLA","75.3124000","64.2800000","51.9100000","51.8600000","51.8500000","0.3900000","0.6100000","54.5300000","0.1141000","0.0240000","0.0436000","0.0670000","0.0811000",NULL,NULL,26,27,23
