"player_name","nic_year","pro_pos","school","grade","imp_grade","raw_grade"
"Vernon Broughton",2025,"DT","Texas","58.9","5.82",NULL
"Junior Colson",2024,"LB","Michigan","75.6","6.24","6.37"
"Michael Roos",2005,"T","Eastern Washington","74.8","6.28",NULL
"Taylor Lewan",2014,"T","Michigan","86","6.6","6.7"
"Mason Graham",2025,"DT","Michigan","86.5","6.59","6.49"
"Tyrion Ingram-Dawkins",2025,"DT","Georgia","63.9","5.96","6.18"
"Maema Njongmeta",2024,"LB","Wisconsin","55.7","5.72","5.66"
"Jontrey Hunter",2024,"LB","Georgia State","54.6","5.69","5.65"
"Cato June",2003,"LB","Michigan","58","5.78",NULL
"JD Bertrand",2024,"LB","Notre Dame","56.1","5.73","5.66"
"Jamar Wall",2010,"CB","Texas Tech","58.2","5.78",NULL
"Morgan Trent",2009,"CB","Michigan","58.2","5.78",NULL
"DeAndre Wright",2009,"CB","New Mexico","58.2","5.78",NULL
"Jemea Thomas",2014,"CB","Georgia Tech","55","5.69","5.6"
"Lamar Jackson",2020,"CB","Nebraska","54.6","5.68",NULL
"Essang Bassey",2020,"CB","Wake Forest","54.6","5.68",NULL
"Marco Wilson",2021,"CB","Florida","63.9","5.94","5.96"
"Javaris Davis",2020,"CB","Auburn","54.6","5.68",NULL
"Mekhi Becton",2020,"T","Louisville","84.6","6.56","6.7"
"Isaiah Wynn",2018,"T","Georgia","84.6","6.56","6.7"
"Tyre Phillips",2020,"T","Mississippi State","70.3","6.15","6.24"
"Scott Kooistra",2003,"T","North Carolina State","55.6","5.73",NULL
"Todd Williams",2003,"T","Florida State","55.6","5.73",NULL
"Michael Jackson Sr.",2019,"CB","Miami (FL)","61.4","5.87","5.9"
"Jordan Miller",2019,"CB","Washington","61.4","5.87","5.9"
"Leon Hall",2007,"CB","Michigan","81.5","6.43",NULL
"C.J. Wilson",2007,"CB","Baylor","56.4","5.73",NULL
"Marcus Trufant",2003,"CB","Washington State","81.5","6.43",NULL
"Tavon Young",2016,"CB","Temple","57.5","5.76","5.6"
"Ryan Smith",2016,"CB","North Carolina Central","57.5","5.76","5.6"
"Earl Bostick Jr.",2023,"T","Kansas","56.3","5.75","5.87"
"Josh Jobe",2022,"CB","Alabama","57.5","5.76",NULL
"Akayleb Evans",2022,"CB","Missouri","62.5","5.9",NULL
