index,Column1,Name,Nic_year,Position,Strengths,Weaknesses,player_x,join_slug,player_id,player_y,position,WAR,strengths_processed,weaknesses_processed,combined_text,athleticism_sentiment,playmaking_sentiment,off-field_sentiment,physical_sentiment,top_bigrams,similar_1_name,similar_1_score,similar_2_name,similar_2_score,similar_3_name,similar_3_score,similar_4_name,similar_4_score,similar_5_name,similar_5_score,join_slug_1,WAR_1,join_slug_2,WAR_2,join_slug_3,WAR_3,join_slug_4,WAR_4,join_slug_5,WAR_5,max_similarity,prediction
35,35,MARQUISE BROWN,2019,WR,"Good sized target with a filled out frame shows balance and body control as a route runner accelerates with juice off the line capable of sticking his
foot in the ground and making sharp turns off his plant gravitates toward open spaces in the defense and always makes himself available strong hands to pluck the
football quick to turn catches upfield and always knows where the sticks are runs through contact as a ball carrier and doesn t easily concede works the middle of
the field with a high level of toughness and confidence physical blocker and takes pride eliminating defenders from the play obsessive worker with the competitive
nature and work ethic that rubs off on his teammates highly productive and the only Ole Miss receiver with multiple 1 000 yard receiving seasons in a career  leaving
Oxford as the most prolific receiver in school history ","Bad habit of rounding underneath patterns wasn t asked to create his own separation on downfield routes benefited from working primarily out of
the slot in college  69 percent of his career catches and 84 percent of his career touchdown catches came out of the slot  not a make you miss threat as a ball
carrier guilty of allowing the ball to come to him at times and needs to aggressively work back to the ball  especially in contested situations hasn t given up his
dream of also playing professional baseball ",marquise brown,marquise brown-WR,61568,marquise brown,WR,0.256294044,good sized target filled frame show balance body control route runner accelerates juice line capable sticking foot ground making sharp turn plant gravitates toward open space defense always make available strong hand pluck football quick turn catch upfield always know stick run contact ball carrier easily concede work middle field high level toughness confidence physical blocker take pride eliminating defender play obsessive worker competitive nature work ethic rub teammate highly productive ole miss receiver multiple yard receiving season career leaving oxford prolific receiver school history,bad habit rounding underneath pattern asked create separation downfield route benefited working primarily slot college percent career catch percent career touchdown catch came slot make miss threat ball carrier guilty allowing ball come time need aggressively work back ball especially contested situation given dream also playing professional baseball,good sized target filled frame show balance body control route runner accelerates juice line capable sticking foot ground making sharp turn plant gravitates toward open space defense always make available strong hand pluck football quick turn catch upfield always know stick run contact ball carrier easily concede work middle field high level toughness confidence physical blocker take pride eliminating defender play obsessive worker competitive nature work ethic rub teammate highly productive ole miss receiver multiple yard receiving season career leaving oxford prolific receiver school history bad habit rounding underneath pattern asked create separation downfield route benefited working primarily slot college percent career catch percent career touchdown catch came slot make miss threat ball carrier guilty allowing ball come time need aggressively work back ball especially contested situation given dream also playing professional baseball,1,0.686355556,0.671833333,0.61785,"['ball carrier', 'percent career', 'back ball', 'bad habit', 'body control', 'came slot', 'career catch', 'career touchdown', 'catch came', 'allowing ball']",josh palmer-WR,0.5677,keesean johnson-WR,0.5584,cornell powell-WR,0.5128,kalija lipscomb-WR,0.5128,tyler vaughns-WR,0.4978,josh palmer-WR,0.129383257,keesean johnson-WR,-0.028590193,cornell powell-WR,-0.05,kalija lipscomb-WR,-0.05,tyler vaughns-WR,-0.05,2.6495,-0.007051855
36,36,PARRIS CAMPBELL,2019,WR,"Twitchy feet and moves differently than the other athletes on the field instant acceleration and outstanding long speed able to brake and balance in
the open field weaves through congestion  forcing ankle biting tackle attempts improved focus and consistency finishing catches in 2018  posting an 82 percent
catch rate  90 catches on 110 targets  fluid body skills mid air to locate and adjust improved tempo as a route runner  shifting between gears and working himself
open two year team captain  former Ohio State head coach Urban Meyer   He s an elite person and an elite worker   graduated with a degree in sociology
 December 2018  career year as a senior  setting the Ohio State single season record for catches  90  in 2018  finishing with the sixth most catches  143  in school
history ","Lacks polish as a route runner undeveloped footwork and cadence in out of his breaks unproven vertical threat three catches of 40 plus yards  78 
71  63  in 2018  but all three were catch and run plays  two were caught behind the line of scrimmage  one was 5 yards downfield  doesn t always play up to his
 36 
speed level due to indecisiveness caught dancing and doesn t have the run strength to overpower tackle attempts returned kicks in college but doesn t have punt
return experience ",parris campbell,parris campbell-WR,47940,parris campbell,WR,0.013976789,twitchy foot move differently athlete field instant acceleration outstanding long speed able brake balance open field weave congestion forcing ankle biting tackle attempt improved focus consistency finishing catch posting percent catch rate catch target fluid body skill mid air locate adjust improved tempo route runner shifting gear working open two year team captain former ohio state head coach urban meyer elite person elite worker graduated degree sociology december career year senior setting ohio state single season record catch finishing sixth catch school history,lack polish route runner undeveloped footwork cadence break unproven vertical threat three catch plus yard three catch run play two caught behind line scrimmage one yard downfield always play speed level due indecisiveness caught dancing run strength overpower tackle attempt returned kick college punt return experience,twitchy foot move differently athlete field instant acceleration outstanding long speed able brake balance open field weave congestion forcing ankle biting tackle attempt improved focus consistency finishing catch posting percent catch rate catch target fluid body skill mid air locate adjust improved tempo route runner shifting gear working open two year team captain former ohio state head coach urban meyer elite person elite worker graduated degree sociology december career year senior setting ohio state single season record catch finishing sixth catch school history lack polish route runner undeveloped footwork cadence break unproven vertical threat three catch plus yard three catch run play two caught behind line scrimmage one yard downfield always play speed level due indecisiveness caught dancing run strength overpower tackle attempt returned kick college punt return experience,1,0.0963,0.026416667,-0.120433333,"['tackle attempt', 'three catch', 'ohio state', 'route runner', 'catch plus', 'always play', 'brake balance', 'graduated degree', 'catch rate', 'finishing catch']",jaxon smithnjigba-WR,0.6097,tre tucker-WR,0.4887,josh downs-WR,0.4814,chris olave-WR,0.4729,tulu griffin-WR,0.4527,jaxon smithnjigba-WR,0.403282534,tre tucker-WR,-0.195017951,josh downs-WR,0.307289472,chris olave-WR,0.370939982,tulu griffin-WR,-0.05,2.5054,0.180126031
37,37,DEEBO SAMUEL,2019,WR,"Compact  muscular build  looks more like a running back than wide receiver  strong lower body to power through contact highly competitive with the
ball in his hands shows twitch in his routes to shake defenders at the stem will lull coverage to sleep before shifting to another gear  gaining separation excellent
catch and run skills strong  steady hands doesn t lack for toughness and finishes catches to the ground impactful red zone threat impact kick returner in college 
matching the SEC career record with four return touchdowns holds the South Carolina record with a 29 0 yard kick return average became the 10th player in school
history to reach 2 000 career receiving yards graduated with his bachelor s degree  December 2018  ","Ordinary height and length doesn t have the frame to shield defenders from the catch point only average long speed and will struggle to consistently
stack cornerbacks best plays on tape came vs  off coverage or when given a free release inconsistent tracking skills downfield injuries hampered him throughout
his career  including a history of hamstring issues going back to high school  missed most of 2017 after suffering a broken left ankle  September 2017  ",deebo samuel,deebo samuel-WR,48274,deebo samuel,WR,0.405560341,compact muscular build look like running back wide receiver strong lower body power contact highly competitive ball hand show twitch route shake defender stem lull coverage sleep shifting another gear gaining separation excellent catch run skill strong steady hand lack toughness finish catch ground impactful red zone threat impact kick returner college matching sec career record four return touchdown hold south carolina record yard kick return average became player school history reach career receiving yard graduated bachelor degree december,ordinary height length frame shield defender catch point average long speed struggle consistently stack cornerback best play tape came coverage given free release inconsistent tracking skill downfield injury hampered throughout career including history hamstring issue going back high school missed suffering broken left ankle september,compact muscular build look like running back wide receiver strong lower body power contact highly competitive ball hand show twitch route shake defender stem lull coverage sleep shifting another gear gaining separation excellent catch run skill strong steady hand lack toughness finish catch ground impactful red zone threat impact kick returner college matching sec career record four return touchdown hold south carolina record yard kick return average became player school history reach career receiving yard graduated bachelor degree december ordinary height length frame shield defender catch point average long speed struggle consistently stack cornerback best play tape came coverage given free release inconsistent tracking skill downfield injury hampered throughout career including history hamstring issue going back high school missed suffering broken left ankle september,-0.507,-0.3416625,-1,-0.414233333,"['ball hand', 'body power', 'career including', 'career receiving', 'catch point', 'catch run', 'defender catch', 'finish catch', 'frame shield', 'free release']",kalija lipscomb-WR,0.5791,tylan wallace-WR,0.532,penny hart-WR,0.5194,amonra st brown-WR,0.45,seth williams-WR,0.4464,kalija lipscomb-WR,-0.05,tylan wallace-WR,-0.002926955,penny hart-WR,0.001880516,amonra st brown-WR,0.762807795,seth williams-WR,0.009342809,2.5269,0.125805824
38,38,KELVIN HARMON,2019,WR,"Above average play strength and uses his size to his advantage snatch and secure hands catcher natural tracking skills to locate  adjust and
highpoint maintains focus while jostling for position displays a knack for creating late separation comfortable in 50 50 situations flashes the ability to snap off
routes without gearing down works the sideline well quick feet and violent hands to defeat press often requires gang tackles by the defense to get him
grounded production improved each of the last three seasons with career highs in 2018 ","Not naturally explosive accelerates well but long speed is average mechanical lower body at the top of routes will try and get a head start and
prematurely round off patterns routes require nuance to better set up corners bad habit of unnecessarily jumping at the catch point relies too much on pushing
off  regardless if he needs to or not ",kelvin harmon,kelvin harmon-WR,47931,kelvin harmon,WR,0.051692721,average play strength us size advantage snatch secure hand catcher natural tracking skill locate adjust highpoint maintains focus jostling position display knack creating late separation comfortable situation flash ability snap route without gearing work sideline well quick foot violent hand defeat press often requires gang tackle defense get grounded production improved last three season career high,naturally explosive accelerates well long speed average mechanical lower body top route try get head start prematurely round pattern route require nuance better set corner bad habit unnecessarily jumping catch point relies much pushing regardless need,average play strength us size advantage snatch secure hand catcher natural tracking skill locate adjust highpoint maintains focus jostling position display knack creating late separation comfortable situation flash ability snap route without gearing work sideline well quick foot violent hand defeat press often requires gang tackle defense get grounded production improved last three season career high naturally explosive accelerates well long speed average mechanical lower body top route try get head start prematurely round pattern route require nuance better set corner bad habit unnecessarily jumping catch point relies much pushing regardless need,0.11696,0.04768,0.096,0.003975,"['accelerates well', 'average play', 'bad habit', 'catch point', 'defeat press', 'hand catcher', 'head start', 'last three', 'late separation', 'long speed']",sage surratt-WR,0.5623,shi smith-WR,0.5015,vea johnson-WR,0.3897,dax milne-WR,0.3882,at perry-WR,0.3817,sage surratt-WR,-0.05,shi smith-WR,-0.107000927,vea johnson-WR,-0.05,dax milne-WR,-0.004632974,at perry-WR,0.026511947,2.2234,-0.04180079
39,39,KEAL HARRY,2019,WR,"Looks the part large  strong hands tracks well downfield and makes athletic adjustments on the football maintains his focus through traffic  and
defenders on his back don t faze him works hard to win body position owns the elevation skills to climb the ladder makes one handed grabs look
routine coordinated feet to release and badger press coverage physicality to be a tackle breaker on slants and screens forces defenders to finish him to the
ground smooth accelerator and picks up speed as he goes consistent production with back to back 1 000 yard receiving seasons durable and plays through injury ","Not a burst player overly methodical as a route runner and savvy corners are able to stay in his hip pocket lacks dynamic moves in out of his breaks 
struggling to uncover downfield doesn t set up defenders in his patterns would benefit from improved hand use off the snap only one red zone touchdown in
2018  on 10 targets  ",keal harry,nkeal harry-WR,,,,-0.05,look part large strong hand track well downfield make athletic adjustment football maintains focus traffic defender back faze work hard win body position owns elevation skill climb ladder make one handed grab look routine coordinated foot release badger press coverage physicality tackle breaker slant screen force defender finish ground smooth accelerator pick speed go consistent production back back yard receiving season durable play injury,burst player overly methodical route runner savvy corner able stay hip pocket lack dynamic move break struggling uncover downfield set defender pattern would benefit improved hand use snap one red zone touchdown target,look part large strong hand track well downfield make athletic adjustment football maintains focus traffic defender back faze work hard win body position owns elevation skill climb ladder make one handed grab look routine coordinated foot release badger press coverage physicality tackle breaker slant screen force defender finish ground smooth accelerator pick speed go consistent production back back yard receiving season durable play injury burst player overly methodical route runner savvy corner able stay hip pocket lack dynamic move break struggling uncover downfield set defender pattern would benefit improved hand use snap one red zone touchdown target,0.741933333,0.39744,-0.3009,0.6746,"['adjustment football', 'athletic adjustment', 'back back', 'body position', 'climb ladder', 'consistent production', 'defender back', 'focus traffic', 'handed grab', 'maintains focus']",johnny wilson-WR,0.5758,seth williams-WR,0.3989,bryce fordwheaton-WR,0.3969,sage surratt-WR,0.3628,tyre brady-WR,0.3326,johnny wilson-WR,-0.047616596,seth williams-WR,0.009342809,bryce fordwheaton-WR,0.018873461,sage surratt-WR,-0.05,tyre brady-WR,-0.05,2.067,-0.024658884
40,40,RILEY RIDLEY,2019,WR,"Looks good on the hoof with a tall  muscular frame detailed route runner pushes patterns to proper depth with little wasted motion in out of
breaks deadly on double moves  understanding how to force cornerbacks off schedule hands catcher with reliable hand eye coordination comfortable with
throws away from his frame excellent body control along the sideline physical after the catch and won t escape out of bounds  not a high volume tackle breaker
but goes down swinging  finishes as a blocker and always looks for his next victim nine touchdown catches in 2018 tied for second most in a season at UGA ","Adequate speed for the position but lacks explosive gears NFL cornerbacks will match his burst not elusive after the catch or a big play threat  only
two catches of 30 plus yards in 2018  gives effort as a blocker but his angles and technique require attention arrested for misdemeanor marijuana possession
 March 2017  after a traffic stop  disciplined internally by the coaches  below average production with career stats that look more like single season production ",riley ridley,riley ridley-WR,47933,riley ridley,WR,0.024073093,look good hoof tall muscular frame detailed route runner push pattern proper depth little wasted motion break deadly double move understanding force cornerback schedule hand catcher reliable hand eye coordination comfortable throw away frame excellent body control along sideline physical catch escape bound high volume tackle breaker go swinging finish blocker always look next victim nine touchdown catch tied second season uga,adequate speed position lack explosive gear nfl cornerback match burst elusive catch big play threat two catch plus yard give effort blocker angle technique require attention arrested misdemeanor marijuana possession march traffic stop disciplined internally coach average production career stats look like single season production,look good hoof tall muscular frame detailed route runner push pattern proper depth little wasted motion break deadly double move understanding force cornerback schedule hand catcher reliable hand eye coordination comfortable throw away frame excellent body control along sideline physical catch escape bound high volume tackle breaker go swinging finish blocker always look next victim nine touchdown catch tied second season uga adequate speed position lack explosive gear nfl cornerback match burst elusive catch big play threat two catch plus yard give effort blocker angle technique require attention arrested misdemeanor marijuana possession march traffic stop disciplined internally coach average production career stats look like single season production,0.54892,0.50166,-0.6846,0.9468,"['along sideline', 'average production', 'away frame', 'big play', 'body control', 'catch plus', 'double move', 'effort blocker', 'elusive catch', 'eye coordination']",stanley morgan-WR,0.4605,dax milne-WR,0.4556,antoine wesley-WR,0.4309,anthony johnson-WR,0.4203,nico collins-WR,0.4165,stanley morgan-WR,-0.013658718,dax milne-WR,-0.004632974,antoine wesley-WR,-0.071544646,anthony johnson-WR,-0.05,nico collins-WR,0.419661979,2.1838,0.052452149
41,41,HAKEEM BUTLER,2019,WR,"Large framed  loose jointed athlete immense catch radius and looks natural adjusting to inaccurate throws downfield tracking skills make him a
dangerous deep threat  10 catches of 50 plus yards the last two seasons  one of only three FBS receivers to do so  acrobatic catches were routine on his film uses
his body to shield and overwhelm corners at the catch point  forcing flag worthy reactions by defenders strong strider with the open field acceleration to outrace
defenders when he has a straight line path flashes the foot quickness to shake pursuit  making it tough on defenders to ground him graduated with a degree in
liberal studies  December 2018  set the school records for receiving yards  1 318  and yards per reception  22 0  in 2018 ","Below average route speed and separation quickness needs to keep his long strides under control  coming unglued at the stem and rounding his
breaks struggles to sink his hips at the drive phase of the route not a route technician with mostly one cut patterns on film  showing little deception to his
path inconsistent ball skills and will make catches tougher than they need to be late adjusting to fastballs outside his frame tends to favor body catching  corralling
instead of attacking with his hands ",hakeem butler,hakeem butler-WR,,,,-0.05,large framed loose jointed athlete immense catch radius look natural adjusting inaccurate throw downfield tracking skill make dangerous deep threat catch plus yard last two season one three fbs receiver acrobatic catch routine film us body shield overwhelm corner catch point forcing flag worthy reaction defender strong strider open field acceleration outrace defender straight line path flash foot quickness shake pursuit making tough defender ground graduated degree liberal study december set school record receiving yard yard per reception,average route speed separation quickness need keep long stride control coming unglued stem rounding break struggle sink hip drive phase route route technician mostly one cut pattern film showing little deception path inconsistent ball skill make catch tougher need late adjusting fastball outside frame tends favor body catching corralling instead attacking hand,large framed loose jointed athlete immense catch radius look natural adjusting inaccurate throw downfield tracking skill make dangerous deep threat catch plus yard last two season one three fbs receiver acrobatic catch routine film us body shield overwhelm corner catch point forcing flag worthy reaction defender strong strider open field acceleration outrace defender straight line path flash foot quickness shake pursuit making tough defender ground graduated degree liberal study december set school record receiving yard yard per reception average route speed separation quickness need keep long stride control coming unglued stem rounding break struggle sink hip drive phase route route technician mostly one cut pattern film showing little deception path inconsistent ball skill make catch tougher need late adjusting fastball outside frame tends favor body catching corralling instead attacking hand,0.97035,-0.49936,-0.563466667,-0.20986,"['skill make', 'ball skill', 'catch plus', 'body shield', 'catch radius', 'deep threat', 'downfield tracking', 'catch point', 'drive phase', 'fbs receiver']",rashod bateman-WR,0.5551,omar bayless-WR,0.5122,jj arcegawhiteside-WR,0.4921,kayshon boutte-WR,0.472,antonio gandygolden-WR,0.4593,rashod bateman-WR,0.098310672,omar bayless-WR,-0.05,jj arcegawhiteside-WR,-0.041991467,kayshon boutte-WR,0.021652747,antonio gandygolden-WR,-0.015363634,2.4907,0.004601852
42,42,ANDY ISABELLA,2019,WR,"Exceptional short area quickness to burst off the line and out of breaks finds space to operate and always makes himself available above average
speed that defenses must respect vertically  led FBS with 11 plays of 40 plus yards in 2018  slippery ball carrier with a low center of balance to force missed
tackles heightened sense for weaving through congestion natural hand eye coordination doesn t play skittish over the middle short but decently built for his
frame one of the hardest workers  I ve ever coached   according to former UMass head coach Mark Whipple highly productive resume  leading the FBS with 1 698
receiving yards in 2018 played well vs  Power Five opponents  30 519 3  the past two seasons   his 15 catches at Georgia  November 2018  were the most ever by
an opponent between the hedges at Sanford Stadium ","Undersized frame with maxed out bulk smaller catch radius  relying on his body to finish grabs not going to win many contested tries needs to be
more efficient at the top of routes  forcing extra steps rarely faced press coverage in college and can be jostled by physical defenders early in the route would
benefit by adding more pacing to his patterns size limits his upside as a blocker limited experience as a punt returner in college  9 77 0  ",andy isabella,andy isabella-WR,47448,andy isabella,WR,-0.04348105,exceptional short area quickness burst line break find space operate always make available average speed defense must respect vertically led fbs play plus yard slippery ball carrier low center balance force missed tackle heightened sense weaving congestion natural hand eye coordination play skittish middle short decently built frame one hardest worker ever coached according former umass head coach mark whipple highly productive resume leading fbs receiving yard played well power five opponent past two season catch georgia november ever opponent hedge sanford stadium,undersized frame maxed bulk smaller catch radius relying body finish grab going win many contested try need efficient top route forcing extra step rarely faced press coverage college jostled physical defender early route would benefit adding pacing pattern size limit upside blocker limited experience punt returner college,exceptional short area quickness burst line break find space operate always make available average speed defense must respect vertically led fbs play plus yard slippery ball carrier low center balance force missed tackle heightened sense weaving congestion natural hand eye coordination play skittish middle short decently built frame one hardest worker ever coached according former umass head coach mark whipple highly productive resume leading fbs receiving yard played well power five opponent past two season catch georgia november ever opponent hedge sanford stadium undersized frame maxed bulk smaller catch radius relying body finish grab going win many contested try need efficient top route forcing extra step rarely faced press coverage college jostled physical defender early route would benefit adding pacing pattern size limit upside blocker limited experience punt returner college,0.485825,0.3724,-0.045633333,-0.81795,"['area quickness', 'average speed', 'ball carrier', 'body finish', 'catch radius', 'coverage college', 'eye coordination', 'fbs receiving', 'finish grab', 'force missed']",wandale robinson-WR,0.7281,kyle philips-WR,0.6117,dillon mitchell-WR,0.5509,jalen morenocropper-WR,0.5457,jacob cowing-WR,0.5376,wandale robinson-WR,0.107937184,kyle philips-WR,0.044468694,dillon mitchell-WR,-0.05,jalen morenocropper-WR,-0.05,jacob cowing-WR,0.023145767,2.974,0.021319344
43,43,JJ ARCEGAWHITESIDE,2019,WR,"Good sized  gangly target with outstanding length boxes out without pushing off magnet for defensive penalties due to frame and catch radius hands
catcher and extends with power to stab the ball away from his body plays above the rim and owns jump balls  contorting his body mid air wasn t asked to run a full
route tree but collects his feet to make quick  crisp cuts powers through arm tackles after the catch  dragging defenders physically tough and takes a beating 2018
team captain seven touchdowns on 11 red zone targets  finishing No  3 in the FBS with 14 touchdown grabs in 2018 ","Struggles to separate vertically vs  speed tightly wound in his hips and lower body upright route runner with little deception  forecasting his path to
cornerbacks lacks diversity or burst in his releases or route setup inexperienced making reads adjustments based on coverage looks to run before securing 
leading to drops missed at least one game each of the last three years due to injury  including a right ankle issue as a junior  November 2018   unable to work out at
the scouting combine due to his right knee  February 2019  ",jj arcegawhiteside,jj arcegawhiteside-WR,35014,jj arcegawhiteside,WR,-0.041991467,good sized gangly target outstanding length box without pushing magnet defensive penalty due frame catch radius hand catcher extends power stab ball away body play rim owns jump ball contorting body mid air asked run full route tree collect foot make quick crisp cut power arm tackle catch dragging defender physically tough take beating team captain seven touchdown red zone target finishing fbs touchdown grab,struggle separate vertically speed tightly wound hip lower body upright route runner little deception forecasting path cornerback lack diversity burst release route setup inexperienced making read adjustment based coverage look run securing leading drop missed least one game last three year due injury including right ankle issue junior november unable work scouting combine due right knee february,good sized gangly target outstanding length box without pushing magnet defensive penalty due frame catch radius hand catcher extends power stab ball away body play rim owns jump ball contorting body mid air asked run full route tree collect foot make quick crisp cut power arm tackle catch dragging defender physically tough take beating team captain seven touchdown red zone target finishing fbs touchdown grab struggle separate vertically speed tightly wound hip lower body upright route runner little deception forecasting path cornerback lack diversity burst release route setup inexperienced making read adjustment based coverage look run securing leading drop missed least one game last three year due injury including right ankle issue junior november unable work scouting combine due right knee february,0.07336,-0.5472875,-1,-0.52224,"['asked run', 'away body', 'ball away', 'based coverage', 'body mid', 'catch radius', 'collect foot', 'due injury', 'full route', 'good sized']",kayshon boutte-WR,0.6977,jalen hurd-WR,0.4957,hakeem butler-WR,0.4921,collin johnson-WR,0.4888,bryan edwards-WR,0.4769,kayshon boutte-WR,0.021652747,jalen hurd-WR,-0.05,hakeem butler-WR,-0.05,collin johnson-WR,0.017236277,bryan edwards-WR,0.023922635,2.6512,-0.005450016
44,44,MILES BOYKIN,2019,WR,"Tall  long and toned frame one step acceleration to beat press and quickly enter his routes eats up cushion without breaking stride long speed to
strike fear in the minds of corners fluid adjustment skills and looks like a nimble power forward in basketball large  accepting hands  finishing catches away from his
body with twitchy reflexes swivel hips and steady concentration on fades and back shoulders  finding  stabbing and securing strong leaping skills and uses his
size reach to his advantage led the team in receiving in 2018 ","Requires a moment to get back up to full speed after gearing down needs to clean up his footwork at the break point loses steam over the middle 
hearing footsteps too easily concedes at contact and doesn t play up to his size after the catch not a tackle breaker and plays too calculating after the catch instead
of thriving on instincts suffered a fracture and multiple torn muscles in his left elbow  October 2014   dealt with finger injuries dating to high school  requiring
surgery  March 2016  only one season as a starter ",miles boykin,miles boykin-WR,48209,miles boykin,WR,-0.07450896,tall long toned frame one step acceleration beat press quickly enter route eats cushion without breaking stride long speed strike fear mind corner fluid adjustment skill look like nimble power forward basketball large accepting hand finishing catch away body twitchy reflex swivel hip steady concentration fade back shoulder finding stabbing securing strong leaping skill us size reach advantage led team receiving,requires moment get back full speed gearing need clean footwork break point loses steam middle hearing footstep easily concedes contact play size catch tackle breaker play calculating catch instead thriving instinct suffered fracture multiple torn muscle left elbow october dealt finger injury dating high school requiring surgery march one season starter,tall long toned frame one step acceleration beat press quickly enter route eats cushion without breaking stride long speed strike fear mind corner fluid adjustment skill look like nimble power forward basketball large accepting hand finishing catch away body twitchy reflex swivel hip steady concentration fade back shoulder finding stabbing securing strong leaping skill us size reach advantage led team receiving requires moment get back full speed gearing need clean footwork break point loses steam middle hearing footstep easily concedes contact play size catch tackle breaker play calculating catch instead thriving instinct suffered fracture multiple torn muscle left elbow october dealt finger injury dating high school requiring surgery march one season starter,0.1178,0.096625,-0.90536,0.76,"['accepting hand', 'adjustment skill', 'away body', 'back shoulder', 'beat press', 'break point', 'breaking stride', 'eats cushion', 'enter route', 'finishing catch']",van jefferson-WR,0.5381,ronnie bell-WR,0.4682,collin johnson-WR,0.4334,justyn ross-WR,0.4242,tamorrion terry-WR,0.4184,van jefferson-WR,-0.138954726,ronnie bell-WR,-0.015456395,collin johnson-WR,0.017236277,justyn ross-WR,-0.009837301,tamorrion terry-WR,-0.05,2.2823,-0.043653771
