ID,Last_Season,target,predicted_label,Diff,min_label,mean_label,max_label,Seasons,ContestedTile,Value,TotalNonSepSeasons,NonSepPercent,Slot_rate,best_Slot_rate,worst_Slot_rate,RR,TPRR,YPRR,TDPRR,ADOT,YAC,best_RR,best_TPRR,best_YPRR,best_TDPRR,best_ADOT,best_YAC,worst_RR,worst_TPRR,worst_YPRR,worst_TDPRR,worst_ADOT,worst_YAC,Strength_Power 5,Filter_NonSeparator,Filter_Solid,Filter_Gadget,ht_in,wt,arm_in,wing_in,c_reps,c_10y,c_40y,c_vj_in,c_bj_in,c_3c,c_ss20,est_40y,WAR,athleticism_score,athleticism_sentiment,playmaking_sentiment,off-field_sentiment
Michael Thomas - 10681,2015,100.0,91.99,-8.01,80.94,94.29,107.3,2,100.0,68.77,0.0,0.0,0.095658439920735,0.190480012843153,0.056349333761438435,0.8879481174563142,0.9041614123581336,0.9519005584579355,0.9682940010808864,0.37308593046297966,0.7742749054224464,0.8145769786482582,0.8882645689516776,0.9366672017980414,0.9526408733344036,0.456895167763686,0.8685984909295232,0.7872050088296677,0.8385776208059078,0.9108203563974956,0.9422058115267298,0.3033392197784556,0.5297800610049768,1,0,1,0,74.75,212.0,32.125,78.25,18.0,1.53,4.57,35.0,126.0,6.8,4.13,4.466,0.9606096300888614,73.97,0.3433106666,0.012855817599999996,-0.15411999999999998
CeeDee Lamb - 61570,2019,97.44,91.33,-6.11,64.61,85.71,93.04,3,41.47,97.12,0.0,0.0,0.4195640425148622,0.565018462032429,0.28319152351902394,0.9546027742749055,0.7724734282111332,0.978021978021978,0.967032967032967,0.6766348405692668,0.9495586380832283,0.9302456253010114,0.8753411462514047,0.9912506020227966,0.9842671375822765,0.6753893080751324,0.9727885695938353,0.851982661743458,0.5214320115588377,0.8604109808958099,0.8396211269866752,0.6277091025846845,0.8543104832236315,1,0,1,0,73.625,198.0,32.25,76.625,11.0,1.46,4.5,34.5,124.0,7.0600000000000005,4.388000000000001,4.45,0.9907811531308122,74.07,-0.022375,0.6297,-0.946266667
Justin Jefferson - 61398,2019,98.91,90.3,-8.61,80.72,91.61,108.08,2,41.48,80.51,1.0,0.5,0.6935687263556116,0.9580992133568791,0.5015251244180446,0.9924337957124842,0.8094037110430553,0.9454152404972077,0.9484777517564403,0.5707079805440461,0.6710502612141956,0.9981537967571039,0.8074329747953123,0.9254294429282389,0.9528816824530422,0.7802215443891475,0.7639267940279338,0.8741371006582116,0.7435382886498635,0.9076095681489805,0.7965965644565741,0.3033392197784556,0.49783271793225237,1,0,1,0,73.25,202.0,33.0,78.0,13.0,1.54,4.43,37.5,126.0,7.19,4.414,4.5,0.9800351312254598,76.13,0.89556,0.720722222,0.157466667
DK Metcalf - 47864,2018,97.77,89.26,-8.51,72.88,85.47,89.29,2,23.35,59.02,2.0,1.0,0.02107728337236534,0.03226842189757585,0.0,0.733381372725635,0.4424428030985408,0.650333273284093,0.9052422986849217,0.775716087191497,0.5998919113673212,0.9658051051533152,0.6371006582115909,0.9456574088938835,0.9987959544068069,0.7874458179483063,0.9528816824530422,0.05032910579547279,0.11847808637020389,0.08869802536522717,0.7668967731578102,0.6846203242896131,0.0026489003050248834,1,1,0,0,75.375,228.0,34.875,82.875,27.0,1.45,4.33,40.5,134.0,7.38,4.5,4.470000000000001,0.48695804918371566,94.23,-0.043059333399999976,-0.34121078579999997,-0.7991229526
AJ Brown - 48327,2018,95.06,87.55,-7.51,73.58,82.45,88.9,3,61.21,82.32,0.0,0.0,0.660241397946316,0.9490287365548242,0.13934820998555145,0.934606377229328,0.8715546748333634,0.9661322284273104,0.8659700954782922,0.43775896234912626,0.8784002882363539,0.9632364745545031,0.8751806068389789,0.9686948145769787,0.9348209985551453,0.5258468454005458,0.923422700272917,0.591989083319955,0.7389629153957297,0.8385776208059078,0.6149462192968373,0.3033392197784556,0.7129555305827581,1,0,1,0,72.5,226.0,32.875,78.0,19.0,1.56,4.49,36.5,120.0,7.036,4.215999999999999,4.49,0.9672225666460013,77.76,0.337221,0.09621924620000002,-0.218904
Marquise Brown - 61568,2018,78.15,81.72,3.57,74.13,80.39,85.31,2,59.75,95.7,0.0,0.0,0.40785444064132587,0.5102745223952481,0.35222347086209665,0.9248784002882363,0.9423527292379751,0.9920735002702216,0.9491983426409656,0.7324806341199784,0.9686542965231489,0.9046395890191042,0.9202921817306149,0.9881200834804945,0.9247872852785359,0.7648097607962755,0.9699791298763847,0.7783753411462514,0.9088938834483866,0.983223631401509,0.9023920372451437,0.6277091025846845,0.9166800449510355,1,0,1,0,69.375,166.0,30.5,71.75,13.4,1.522,4.394000000000001,37.0,127.6,6.924000000000001,4.2540000000000004,4.34,0.9928476958049184,77.49,1.0,0.686355556,0.671833333
Amari Cooper - 9437,2014,82.33,79.95,-2.38,67.01,76.78,85.81,1,100.0,89.58,0.0,0.0,0.4327148261574491,0.47182533311928077,0.47182533311928077,0.9850477391460998,0.9969374887407674,0.9951360115294542,0.9843271482615745,0.33939830661142134,0.8657899477571609,0.9623535077861615,0.9963075935142077,0.9912506020227966,0.9732701878311125,0.3476480976079628,0.8323968534275165,0.9623535077861615,0.9963075935142077,0.9912506020227966,0.9732701878311125,0.3476480976079628,0.8323968534275165,1,0,1,0,72.875,211.0,31.5,76.25,13.4,1.61,4.42,33.0,120.0,6.71,3.98,4.458,1.0095866914651788,79.32,0.5360306666,-0.019709682399999994,-0.2403866666
Tee Higgins - 61211,2019,83.41,77.15,-6.26,69.84,75.3,78.96,3,13.89,97.06,3.0,1.0,0.340839488380472,0.47254776047519664,0.23109648418686787,0.7785984507295983,0.9589263195820573,0.9888308412898577,0.9855881823094937,0.8749774815348585,0.7913889389299226,0.8307914593032589,0.9855514528816824,0.9867554984748755,0.9820195858083159,0.8650666238561567,0.8685984909295232,0.3585647776529138,0.8984588216407128,0.9564938192326216,0.8671536362176915,0.8305506501846204,0.6596564456574089,1,1,0,0,75.625,216.0,34.125,81.0,16.2,1.564,4.618,34.9,123.0,7.178,4.4399999999999995,4.47,0.9666026038437694,62.67,0.67636,0.305614286,0.25705
Terry McLaurin - 48229,2018,86.59,76.26,-10.33,43.37,64.65,76.46,2,21.52,55.63,2.0,1.0,0.39524410016213296,0.5344357039653235,0.27018783111253813,0.8270581877139254,0.22014051522248243,0.5725094577553594,0.935146820392722,0.8940731399747793,0.4280309854080346,0.8335206293144967,0.3811205650987317,0.8385776208059078,0.9662867233905924,0.9152351902392037,0.6718574410017659,0.628672339059239,0.08356076416760315,0.10322684218975758,0.5833199550489645,0.8130518542302135,0.19898860170171778,1,1,0,0,72.125,208.0,31.5,75.0,18.0,1.45,4.35,37.5,125.0,7.01,4.15,4.4959999999999996,0.38921058069849146,92.69,0.55248,-0.189433333,1.0
AmonRa St Brown - 84470,2020,94.75,75.74,-19.01,61.35,72.2,78.69,3,38.04,74.05,1.0,0.33,0.7027562601333093,0.8002087012361535,0.5903836891956975,0.9535218879481174,0.7809403711043055,0.8731760043235453,0.7785984507295983,0.425508917312196,0.45775535939470363,0.9953443570396532,0.9511960186225719,0.9263124096965805,0.9275164552897737,0.5570717611173543,0.6318831273077541,0.7275646171135014,0.5268903515813133,0.718815219136298,0.6142237919409215,0.27861615026489,0.35976882324610693,1,0,1,0,71.5,197.0,30.375,74.625,15.0,1.556,4.544,34.3,121.4,6.988000000000001,4.288000000000001,4.54,0.8977867327960323,64.67,0.75954,0.314985714,-0.504383333
