ID,Seasons,ContestedTile,Value,TotalNonSepSeasons,NonSepPercent,Slot_rate,best_Slot_rate,worst_Slot_rate,RR,TPRR,YPRR,TDPRR,ADOT,YAC,best_RR,best_TPRR,best_YPRR,best_TDPRR,best_ADOT,best_YAC,worst_RR,worst_TPRR,worst_YPRR,worst_TDPRR,worst_ADOT,worst_YAC,Strength_Power 5,Filter_NonSeparator,Filter_Solid,Filter_Gadget,ht_in,wt,arm_in,wing_in,c_reps,c_10y,c_40y,c_vj_in,c_bj_in,c_3c,c_ss20,est_40y,WAR,athleticism_score
David Amador - 174085,1,76.32,99.67,1.0,1.0,0.7555395424247884,0.7241130197463477,0.7099052817466688,0.3882183390380112,0.9050621509637903,0.9056025941271842,0.5885426049360476,0.056386236714105566,0.9227166276346604,0.4061647134371488,0.9820998555145288,0.9823406646331675,0.60748113661904,0.06301171937710708,0.9578584042382405,0.3674747150425429,0.36899983946058756,0.32942687429764006,0.5634933376143844,0.06092470701557232,0.7129555305827581,0,0,0,1,71.65,191.0,31.075,74.6,12.0,1.504,4.438,36.7,123.6,6.858,4.186000000000001,4.356,0.4065695391609837,82.94
Jeremiah Smith - 183710,1,27.01,99.38,0.0,0.0,0.37614844172221223,0.4166800449510355,0.4166800449510355,0.9818050801657359,0.8765988110250406,0.9798234552332913,0.9832462619347865,0.6665465681859124,0.8059809043415601,0.9503130518542302,0.83528656285118,0.9668486113340825,0.971664793706855,0.6386257826296355,0.7737999678921175,0.9503130518542302,0.83528656285118,0.9668486113340825,0.971664793706855,0.6386257826296355,0.7737999678921175,1,0,1,0,73.825,206.6,31.425,75.95,13.6,1.506,4.454,35.1,124.6,7.01,4.258000000000001,4.508,1.008346765860715,75.822
Parris Campbell - 47940,2,64.95,98.93,2.0,1.0,0.6647450909745992,0.8901107721945738,0.38914753572001926,0.6025941271842912,0.9333453431814087,0.7957124842370744,0.9129886506935687,0.23653395784543327,0.7247342821113313,0.8164231818911543,0.9873173864183657,0.980093112859207,0.9786482581473752,0.7113501364585005,0.9861133408251725,0.12401669609889228,0.03981377428158613,0.0016053941242575051,0.0,0.051693690801091666,0.0026489003050248834,1,0,0,1,71.875,205.0,32.25,75.625,11.0,1.45,4.31,40.0,135.0,6.922,4.03,4.4559999999999995,0.623969828476958,99.0
Jaylen Waddle - 84088,3,61.8,98.9,1.0,0.33,0.7728337236533958,0.8221223310322684,0.6992294108203564,0.6404251486218699,0.8108448928121059,0.9915330571068276,0.9695550351288056,0.3266078184110971,0.9738785804359574,0.6895970460748113,0.837774923743779,0.9951838176272275,0.9569754374698989,0.5258468454005458,0.9835447102263606,0.47447423342430567,0.657007545352384,0.9569754374698989,0.9448547118317547,0.08484507946700916,0.8911542783753411,1,0,1,0,69.5,180.0,30.375,74.625,14.2,1.516,4.401999999999999,37.2,129.6,6.944,4.238,4.2,0.9046063236205828,83.55
Eugene Wilson - 175886,2,47.27,98.8,2.0,1.0,0.5986308773194019,0.6277893722908974,0.6161502648900306,0.7214916231309674,0.8955143217438299,0.8884885606197082,0.8874076742929202,0.031525851197982346,0.957665285534138,0.7605554663669931,0.8759030341948948,0.9338577620805908,0.8696419971102906,0.08821640712794991,0.9762401669609889,0.37253170653395407,0.851982661743458,0.7660138063894686,0.6008990207095842,0.021271472146411945,0.8868999839460587,1,0,0,1,72.5,191.6,31.35,76.25,16.8,1.48,4.428,36.4,124.2,7.031999999999999,4.248,4.42,0.8173982227733003,78.87
Jacoby Jones - 157518,2,8.39,98.74,2.0,1.0,0.26337596829400106,0.45874137100658213,0.18165034515973671,0.5413439019996397,0.8119257791388939,0.9540623311115114,0.8403891190776437,0.6872635561160151,0.7319401909565844,0.746427998073527,0.8757424947824691,0.9521592550971263,0.8799967892117515,0.8260555466366993,0.8868999839460587,0.22788569593835287,0.7149622732380799,0.9002247551773961,0.0,0.48458821640712796,0.5297800610049768,1,1,0,0,73.775,207.2,32.3,77.25,17.6,1.5500000000000003,4.58,37.9,126.2,7.062,4.34,4.488,0.7830936143831371,65.884
Austin Watkins - 84457,2,28.69,98.36,2.0,1.0,0.15564763105746712,0.34596243377749236,0.08307914593032589,0.6923076923076923,0.8825436858223743,0.8947937308593046,0.7730138713745272,0.8733561520446766,0.2686002522068096,0.8830470380478408,0.9070476802054904,0.9643602504414834,0.7907368759030342,0.9611494621929684,0.5646171135013646,0.26673623374538447,0.1323647455450313,0.4137100658211591,0.0,0.5158131321239364,0.11976240166960989,0,1,0,0,73.5,207.0,31.0,76.0,11.2,1.522,4.484,34.4,121.8,7.022,4.3,4.48,0.8847675139491631,72.27
Aziah Johnson - 175464,1,75.45,98.24,0.0,0.0,0.902720230589083,0.8704446941724193,0.8704446941724193,0.6335795352188794,0.17672491442983246,0.5950279228967753,0.6357413078724554,0.5739506395244101,0.8384074941451991,0.5838818429924546,0.2001926472949109,0.5624498314336169,0.6224915716808477,0.5570717611173543,0.8042221865467972,0.5838818429924546,0.2001926472949109,0.5624498314336169,0.6224915716808477,0.5570717611173543,0.8042221865467972,1,0,1,0,71.65,191.0,31.075,74.6,12.0,1.498,4.4319999999999995,37.8,128.0,6.858,4.186000000000001,4.356,0.5107232899359372,82.94
Laviska Shenault - 61220,2,57.37,98.17,1.0,0.5,0.5094577553593947,0.6542783753411463,0.35222347086209665,0.6569987389659521,0.9888308412898577,0.9974779319041615,0.8362457214916231,0.6324986488920915,0.8946135831381733,0.7950714400385295,0.9973510996949752,0.9994381120565099,0.8488521432011559,0.9723872210627709,0.8685984909295232,0.03435543425911061,0.9597848771873495,0.9569754374698989,0.0,0.11382244340985712,0.8452400064215765,1,0,0,1,72.625,227.0,31.875,76.25,17.0,1.61,4.58,34.9,120.4,6.9719999999999995,4.242,4.49,0.9304381070469105,73.21
Makai Lemon - 174150,1,32.73,97.97,0.0,0.0,0.7640064853179608,0.7778937229089742,0.6864665275325093,0.5278328229147902,0.8816429472167177,0.9421725815168438,0.606377229328049,0.18627274364979282,0.917492343721852,0.7167282067747632,0.8774281586129394,0.9609086530743297,0.6588537485952801,0.36899983946058756,0.9070476802054904,0.15805105153315138,0.4918927596724996,0.7949911703323166,0.0,0.09391555626906406,0.8452400064215765,1,0,1,0,73.825,203.8,31.375,75.6,13.0,1.508,4.4159999999999995,38.6,127.2,7.055999999999999,4.286,4.476000000000001,0.7818536887786733,76.56
