,ID.x,ID.y,similarity
0,Jeremiah Smith - 183710,Marvin Harrison - 145056,60.9
1,Jeremiah Smith - 183710,CeeDee Lamb - 61570,59.36
2,Jeremiah Smith - 183710,Justin Jefferson - 61398,53.14
3,Jeremiah Smith - 183710,Drake London - 86519,52.64
4,Jeremiah Smith - 183710,Brandon Aiyuk - 84109,43.03
5,Luther Burden - 157170,Brandon Aiyuk - 84109,73.07
6,Luther Burden - 157170,Malik Nabers - 146759,59.19
7,Luther Burden - 157170,Marvin Harrison - 145056,58.15
8,Luther Burden - 157170,Rashee Rice - 97605,52.28
9,Luther Burden - 157170,Deebo Samuel - 48274,51.75
10,Elijah Sarratt - 159499,Marvin Harrison - 145056,83.37
11,Elijah Sarratt - 159499,Romeo Doubs - 84329,56.24
12,Elijah Sarratt - 159499,Gabriel Davis - 55410,48.66
13,Elijah Sarratt - 159499,Drake London - 86519,47.76
14,Elijah Sarratt - 159499,Keon Coleman - 144949,45.53
15,Matthew Golden - 156165,Ladd McConkey - 124030,58.53
16,Matthew Golden - 156165,Marvin Mims - 122937,58.35
17,Matthew Golden - 156165,Danny Gray - 121926,56.1
18,Matthew Golden - 156165,Malik Nabers - 146759,51.34
19,Matthew Golden - 156165,Khalil Shakir - 84140,49.38
20,Isaiah Neyor - 98033,Denzel Mims - 47800,58.26
21,Isaiah Neyor - 98033,Brian Thomas - 146760,50.71
22,Isaiah Neyor - 98033,Miles Boykin - 48209,45.06
23,Isaiah Neyor - 98033,Alec Pierce - 78038,37.3
24,Isaiah Neyor - 98033,Terry McLaurin - 48229,35.13
25,Tre Harris - 122676,Marvin Harrison - 145056,74.24
26,Tre Harris - 122676,Romeo Doubs - 84329,73.19
27,Tre Harris - 122676,Keon Coleman - 144949,54.69
28,Tre Harris - 122676,Rashee Rice - 97605,51.04
29,Tre Harris - 122676,Quentin Johnston - 123085,45.02
30,Tory Horton - 128232,Jerry Jeudy - 61103,83.43
31,Tory Horton - 128232,Khalil Shakir - 84140,80.63
32,Tory Horton - 128232,Rashod Bateman - 84296,59.36
